Timestamp,PerConfig,Per100,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
132961430348038748,0,0,26,25,2105,6,60,True,19,0,26,True,164,96,1215546913,117655301
132961430349032944,0,0,26,26,2106,7,60,True,19,0,27,True,164,96,117655301,1694089972
132961430350034284,0,0,26,27,2107,8,60,True,19,0,28,True,164,96,1694089972,1927849080
132961430351024072,0,0,26,28,2108,9,60,True,19,0,29,True,164,96,1927849080,881403043
132961430352023027,0,0,26,29,2109,10,60,True,19,0,30,True,164,96,881403043,290148888
132961430353018982,0,0,26,30,2110,11,60,True,19,0,31,True,164,96,290148888,2155938634
132961430354014949,0,0,26,31,2111,12,60,True,19,0,32,True,164,96,2155938634,3428832667
132961430355011335,0,0,26,32,2112,13,60,True,19,0,33,True,164,96,3428832667,12750172
132961430356014055,0,0,26,33,2113,14,60,True,19,0,34,True,164,96,12750172,1038962027
132961430357003206,0,0,26,34,2114,15,60,True,19,0,35,True,164,96,1038962027,3472014867
132961430358002258,0,0,26,35,2115,16,60,True,19,0,36,True,164,96,3472014867,410824228
132961430358995903,0,0,26,36,2116,17,60,True,19,0,37,True,164,96,410824228,516815495
132961430359991577,0,0,26,37,2117,18,60,True,19,0,38,True,164,96,516815495,390411510
132961430360984415,0,0,26,38,2118,19,60,True,19,0,39,True,164,96,390411510,215561586
132961430361981652,0,0,26,39,2119,20,60,True,19,0,40,True,164,96,215561586,563019712
132961430362989954,0,0,26,40,2120,21,60,True,19,0,41,True,164,96,563019712,3771139738
132961430363976272,0,0,26,41,2121,22,60,True,19,0,42,True,164,96,3771139738,4123221981
132961430364970902,0,0,26,42,2122,23,60,True,19,0,43,True,164,96,4123221981,2644194349
132961430365966475,0,0,26,43,2123,24,60,True,19,0,44,True,164,96,2644194349,2624609862
132961430366962217,0,0,26,44,2124,25,60,True,19,0,45,True,164,96,2624609862,1453663946
132961430367960500,0,0,26,45,2125,26,60,True,19,0,46,True,164,96,1453663946,2037062409
132961430368953382,0,0,26,46,2126,27,60,True,19,0,47,True,164,96,2037062409,1312726596
132961430369952174,0,0,26,47,2127,28,60,True,19,0,48,True,164,96,1312726596,4149426704
132961430370949599,0,0,26,48,2128,29,60,True,19,0,49,True,164,96,4149426704,1352582626
132961430371944361,0,0,26,49,2129,30,60,True,19,0,50,True,164,96,1352582626,1467418432
132961430372941060,0,0,26,50,2130,31,60,True,19,0,51,True,164,96,1467418432,3968915427
132961430373933972,0,0,26,51,2131,32,60,True,19,0,52,True,164,96,3968915427,2899236837
132961430374931665,0,0,26,52,2132,33,60,True,19,0,53,True,164,96,2899236837,440900326
132961430375928892,0,0,26,53,2133,34,60,True,19,0,54,True,164,96,440900326,397136110
132961430376922619,0,0,26,54,2134,35,60,True,19,0,55,True,164,96,397136110,1099264884
132961430377919694,0,0,26,55,2135,36,60,True,19,0,56,True,164,96,1099264884,3481122616
132961430378915912,0,0,26,56,2136,37,60,True,19,0,57,True,164,96,3481122616,2845358264
132961430379911989,0,0,26,57,2137,38,60,True,19,0,58,True,164,96,2845358264,3576023063
132961430380909349,0,0,26,58,2138,39,60,True,19,0,59,True,164,96,3576023063,2178028202
132961430381903055,0,0,26,59,2139,40,60,True,19,0,60,True,164,96,2178028202,1869795403
132961430382907900,0,0,26,60,2140,41,60,True,19,0,61,True,164,96,1869795403,4218454308
132961430383896933,0,0,26,61,2141,42,60,True,19,0,62,True,164,96,4218454308,1966333053
132961430384891960,0,0,26,62,2142,43,60,True,19,0,63,True,164,96,1966333053,2673346386
132961430385889138,0,0,26,63,2143,44,60,True,19,0,64,True,164,96,2673346386,1080993208
132961430386882828,0,0,26,64,2144,45,60,True,19,0,65,True,164,96,1080993208,1545067174
132961430387882518,0,0,26,65,2145,46,60,True,19,0,66,True,164,96,1545067174,1176116501
132961430388878403,0,0,26,66,2146,47,60,True,19,0,67,True,164,96,1176116501,3147594113
132961430389871604,0,0,26,67,2147,48,60,True,19,0,68,True,164,96,3147594113,838425705
132961430390870468,0,0,26,68,2148,49,60,True,19,0,69,True,164,96,838425705,2969125162
